,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
87,5.0,23.0,9.2,76.0,25.0,29.0,33.0,3.0,1.0,2.0,,1.0,24.0,,1.0,2.0,,,1.0,,,,,
88,5.0,24.0,8.3,95.0,49.0,29.0,30.0,12.0,1.0,5.0,5.0,10.0,25.0,1.0,13.0,2.0,,13.0,12.0,8.0,,9.0,,
89,5.0,25.0,8.7,85.0,32.0,17.0,19.0,16.0,15.0,17.0,6.0,23.0,2.0,,27.0,11.0,,,2.0,1.0,,3.0,,
90,5.0,26.0,9.0,55.0,41.0,24.0,25.0,12.0,5.0,3.0,2.0,3.0,,,4.0,,,2.0,2.0,2.0,,,,
91,6.0,1.0,8.8,95.0,20.0,42.0,27.0,38.0,14.0,5.0,10.0,7.0,1.0,,7.0,9.0,,1.0,12.0,4.0,,6.0,,
92,6.0,2.0,8.1,71.0,32.0,19.0,24.0,7.0,1.0,3.0,7.0,3.0,5.0,15.0,2.0,3.0,,26.0,2.0,6.0,,4.0,,
93,6.0,3.0,8.0,86.0,29.0,91.0,17.0,3.0,14.0,5.0,12.0,3.0,5.0,,13.0,4.0,,,3.0,9.0,,3.0,,
94,6.0,4.0,9.4,129.0,84.0,56.0,70.0,33.0,30.0,12.0,9.0,10.0,3.0,,3.0,3.0,,4.0,7.0,6.0,,,,
95,6.0,5.0,9.4,122.0,50.0,14.0,5.0,57.0,17.0,,18.0,7.0,4.0,,1.0,,,3.0,,3.0,,1.0,,
96,6.0,6.0,7.6,85.0,30.0,60.0,60.0,9.0,6.0,5.0,6.0,12.0,8.0,,2.0,10.0,,15.0,1.0,4.0,,1.0,,
97,6.0,7.0,8.6,85.0,14.0,49.0,39.0,37.0,10.0,10.0,11.0,17.0,1.0,7.0,9.0,2.0,,,3.0,8.0,,3.0,,
98,6.0,8.0,8.2,114.0,50.0,26.0,70.0,28.0,6.0,2.0,3.0,3.0,8.0,,2.0,5.0,,7.0,1.0,1.0,,2.0,,
99,6.0,9.0,8.1,67.0,30.0,47.0,12.0,24.0,11.0,6.0,8.0,15.0,1.0,,5.0,1.0,,,6.0,4.0,,2.0,,
100,6.0,10.0,8.6,71.0,26.0,37.0,12.0,14.0,4.0,,18.0,3.0,18.0,,7.0,,,,4.0,1.0,,1.0,,
101,6.0,11.0,8.2,68.0,36.0,38.0,14.0,22.0,6.0,3.0,2.0,21.0,4.0,,4.0,1.0,,,2.0,,,1.0,,
102,6.0,12.0,8.3,95.0,37.0,39.0,16.0,16.0,13.0,6.0,13.0,11.0,8.0,,27.0,3.0,,6.0,5.0,3.0,,2.0,,
103,6.0,13.0,8.5,44.0,17.0,,5.0,1.0,2.0,2.0,,,1.0,,,,,18.0,,,,,,
104,6.0,14.0,6.8,82.0,9.0,26.0,25.0,10.0,1.0,2.0,5.0,6.0,,,1.0,,,2.0,1.0,2.0,,1.0,18.0,
105,6.0,15.0,7.7,68.0,39.0,33.0,5.0,24.0,5.0,1.0,6.0,23.0,19.0,,4.0,11.0,,,,4.0,,,5.0,
106,6.0,16.0,8.1,117.0,47.0,134.0,126.0,25.0,29.0,19.0,3.0,35.0,2.0,,6.0,3.0,,1.0,3.0,6.0,,1.0,,
107,6.0,17.0,8.4,52.0,29.0,40.0,1.0,24.0,3.0,3.0,4.0,20.0,3.0,,1.0,3.0,,,1.0,4.0,,,3.0,
108,6.0,18.0,8.5,85.0,43.0,51.0,3.0,15.0,8.0,6.0,1.0,7.0,3.0,9.0,18.0,8.0,,2.0,11.0,3.0,,,7.0,
109,6.0,19.0,7.7,74.0,34.0,33.0,31.0,35.0,7.0,17.0,20.0,16.0,5.0,10.0,6.0,4.0,,,1.0,1.0,,1.0,,
110,6.0,20.0,7.8,46.0,17.0,8.0,28.0,25.0,20.0,5.0,6.0,52.0,5.0,3.0,3.0,5.0,,3.0,,9.0,,,23.0,
111,6.0,21.0,8.6,86.0,45.0,37.0,27.0,3.0,8.0,3.0,9.0,9.0,4.0,4.0,4.0,28.0,,,2.0,,,1.0,15.0,
112,6.0,22.0,7.9,92.0,38.0,14.0,42.0,30.0,,,1.0,3.0,4.0,26.0,,7.0,,,3.0,1.0,,2.0,4.0,
113,6.0,23.0,8.0,82.0,36.0,21.0,30.0,41.0,6.0,17.0,3.0,11.0,11.0,4.0,8.0,5.0,,5.0,2.0,3.0,,4.0,6.0,
114,6.0,24.0,8.2,67.0,19.0,13.0,17.0,17.0,7.0,4.0,2.0,4.0,2.0,6.0,5.0,5.0,,7.0,2.0,,,2.0,5.0,
115,6.0,25.0,7.8,,,,,,,,,,,,,,,,,,,,,
116,6.0,26.0,8.0,,,,,,,,,,,,,,,,,,,,,
117,7.0,1.0,8.4,58.0,21.0,22.0,25.0,16.0,5.0,3.0,8.0,7.0,3.0,5.0,7.0,5.0,,3.0,5.0,3.0,,4.0,11.0,
118,7.0,2.0,8.2,31.0,48.0,34.0,39.0,13.0,,4.0,7.0,4.0,3.0,4.0,3.0,6.0,,35.0,3.0,,,1.0,17.0,
